Region,State,Substation_Name,Type_AIS_GIS,Voltage_Level,Transformation_Capacity_MVA,Renewable_Companies_Connected,Project_Type,Total_Capacity_MW,Remarks
NR,Ladakh,Pang PS,GIS,765/400 kV,2x1500 MVA,"SECI (5000 MW), Various (8000 MW)",Solar,13000,"Planned - Pang 13 GW Solar Park, PGCIL HVDC planned"
WR,Gujarat,Khavda PS-I,GIS,765/400 kV,3x1500 MVA 765/400kV,Adani Green Energy (5000 MW),Solar/Wind/Hybrid,7000,"Active - Khavda 30 GW RE Park primary node, PGCIL evacuation"
WR,Gujarat,Khavda PS-II,GIS,765/400 kV,3x1500 MVA 765/400kV,"Adani Green Energy (4000 MW), SJVN (1000 MW)",Solar/Wind/Hybrid,5000,Under implementation - Khavda RE Park Phase-II
WR,Gujarat,Khavda PS-III,GIS,765/400 kV,3x1500 MVA 765/400kV,"Adani Green Energy (3000 MW), NTPC (2000 MW)",Solar/Wind/Hybrid,5000,Planned - Khavda RE Park Phase-III
WR,Rajasthan,Bhadla PS,GIS,765/400 kV,3x1500 MVA 765/400kV; 4x500 MVA 400/220kV,"Adani Green (1500 MW), SB Energy (600 MW), NTPC (500 MW), Azure Power (350 MW), ReNew Power (300 MW), Tata Power (250 MW), Hero Future Energies (200 MW)",Solar,5000,"Active - Major solar park (2245 MW Ultra Mega), CTU substation"
WR,Gujarat,Bhuj-II PS,GIS,765/400 kV,2x1500 MVA 765/400kV; 3x500 MVA 400/220kV,"Adani Green Energy (1500 MW), Tata Power Renewable (400 MW), NTPC REL (300 MW), ReNew Power (250 MW)",Solar/Wind/Hybrid,4500,"Active - Major RE hub, Khavda RE Park evacuation node"
WR,Rajasthan,Fatehgarh PS,GIS,765/400 kV,2x1500 MVA 765/400kV; 3x500 MVA 400/220kV,"Adani Green (800 MW), Sembcorp (500 MW), SJVN (300 MW), NTPC REL (200 MW), Sprng Energy (250 MW)",Solar/Wind,3500,"Active - Major RE hub, GEC Phase-II"
WR,Gujarat,Lakadiya PS,GIS,765/400 kV,2x1500 MVA 765/400kV; 4x500 MVA 400/220kV,"Avaada Energy (300 MW), Juniper Green Energy (200 MW), Torrent Power (115 MW), Apraava Energy (251 MW), Powerica (304 MW), KP Energy (100 MW), IndianOil NTPC Green Energy (355 MW), Airpower Windfarms (175 MW)",Solar/Wind,3200,"Active - Major RE hub, CTU substation, GEC Phase-I node"
WR,Rajasthan,Bikaner-II PS,GIS,765/400 kV,2x1500 MVA 765/400kV; 3x500 MVA 400/220kV,"NTPC (500 MW), Adani Green (400 MW), SB Energy (350 MW), Tata Power (300 MW), Avaada (250 MW)",Solar,3000,"Active - Major solar hub, CTU substation"
SR,Tamil Nadu,Kayathar PS,GIS,765/400 kV,2x1500 MVA 765/400kV; 3x500 MVA 400/220kV,"Adani Green (600 MW), Suzlon (400 MW), ReNew (300 MW), CLP India (200 MW), Sembcorp (200 MW)",Wind/Solar,3000,"Active - Major wind corridor hub, GEC Phase-I"
WR,Rajasthan,Fatehgarh-II PS,GIS,765/400 kV,2x1500 MVA 765/400kV; 4x500 MVA 400/220kV,"ReNew Power (500 MW), Adani Green (400 MW), Greenko (300 MW), O2 Power (250 MW)",Solar/Wind,2500,Active - Fatehgarh complex expansion
WR,Rajasthan,Bikaner-III PS,GIS,765/400 kV,2x1500 MVA 765/400kV,Various developers (2500 MW),Solar,2500,Under implementation - Bikaner solar complex expansion
WR,Rajasthan,Barmer PS,GIS,765/400 kV,2x1500 MVA 765/400kV; 3x500 MVA 400/220kV,"Adani Green (600 MW), SJVN (400 MW), NTPC (300 MW), ReNew (250 MW)",Solar/Wind,2500,"Active - Barmer REZ, GEC Phase-II"
SR,Tamil Nadu,Tuticorin-II PS,GIS,400/220 kV,4x500 MVA,"Adani Green (500 MW), ReNew (300 MW), Various (700 MW)",Wind/Solar,2500,"Active - Expansion of Tuticorin complex, PGCIL"
SR,Andhra Pradesh,Kurnool PS,GIS,765/400 kV,2x1500 MVA 765/400kV; 3x500 MVA 400/220kV,"Adani Green (600 MW), SB Energy (400 MW), Azure Power (350 MW), Various (650 MW)",Solar,2500,"Active - Kurnool Ultra Mega Solar Park, Major solar hub"
WR,Rajasthan,Fatehgarh-III PS,GIS,765/400 kV,2x1500 MVA 765/400kV,Various developers (2000 MW),Solar/Wind,2000,Under implementation - Jaisalmer REZ
WR,Rajasthan,Barmer-II PS,GIS,765/400 kV,2x1500 MVA 765/400kV,Various developers (2000 MW),Solar/Wind,2000,Under implementation - Barmer REZ expansion
